Mean Test Score,Standard Deviation,Parameters
-1.0346860968470861,0.0329835024165307,"{'batch_size': 64, 'learning_rate': 0.1, 'optimizer': 'Nadam', 'units': [256, 128, 32]}"
-0.997476535579155,0.03448150586702131,"{'batch_size': 64, 'learning_rate': 0.1, 'optimizer': 'Nadam', 'units': [128, 64, 32]}"
-0.983042052473505,0.03580860671503394,"{'batch_size': 64, 'learning_rate': 0.1, 'optimizer': 'Nadam', 'units': [128, 64, 16]}"
-1.0405905985236537,0.041437221419577785,"{'batch_size': 64, 'learning_rate': 0.1, 'optimizer': 'Nadam', 'units': [64, 64, 32]}"
-1.0349962222026354,0.023192612850161498,"{'batch_size': 64, 'learning_rate': 0.1, 'optimizer': 'Nadam', 'units': [64, 32, 16]}"
-1.0031483752426174,0.07598086822800315,"{'batch_size': 64, 'learning_rate': 0.1, 'optimizer': 'RMSprop', 'units': [256, 128, 64]}"
-1.0301082155838244,0.019923475913120048,"{'batch_size': 64, 'learning_rate': 0.1, 'optimizer': 'RMSprop', 'units': [256, 128, 32]}"
-0.9837248050231306,0.011624156760944804,"{'batch_size': 64, 'learning_rate': 0.1, 'optimizer': 'RMSprop', 'units': [128, 64, 32]}"
-1.0227373494754919,0.011697096242182736,"{'batch_size': 64, 'learning_rate': 0.1, 'optimizer': 'RMSprop', 'units': [128, 64, 16]}"
-1.0140819254904323,0.024138967444201742,"{'batch_size': 64, 'learning_rate': 0.1, 'optimizer': 'RMSprop', 'units': [64, 64, 32]}"
-1.0440336574828595,0.07599590636156028,"{'batch_size': 64, 'learning_rate': 0.1, 'optimizer': 'RMSprop', 'units': [64, 32, 16]}"
-1.0481248227516007,0.09761258885432794,"{'batch_size': 64, 'learning_rate': 0.5, 'optimizer': 'Adam', 'units': [256, 128, 64]}"
-0.9987038345299974,0.05878982319705289,"{'batch_size': 64, 'learning_rate': 0.5, 'optimizer': 'Adam', 'units': [256, 128, 32]}"
-0.9379046922777088,0.08212514209674215,"{'batch_size': 64, 'learning_rate': 0.5, 'optimizer': 'Adam', 'units': [128, 64, 32]}"
-0.9785669953401064,0.10446747481108515,"{'batch_size': 64, 'learning_rate': 0.5, 'optimizer': 'Adam', 'units': [128, 64, 16]}"
-1.014987315486423,0.022587911110578673,"{'batch_size': 64, 'learning_rate': 0.5, 'optimizer': 'Adam', 'units': [64, 64, 32]}"
-1.0101399704383687,0.0539955428483922,"{'batch_size': 64, 'learning_rate': 0.5, 'optimizer': 'Adam', 'units': [64, 32, 16]}"
-1.1412286320418499,0.046479363089999226,"{'batch_size': 64, 'learning_rate': 0.5, 'optimizer': 'Nadam', 'units': [256, 128, 64]}"
-0.9444080369044434,0.11697009068519676,"{'batch_size': 64, 'learning_rate': 0.5, 'optimizer': 'Nadam', 'units': [256, 128, 32]}"
-1.0702358863125272,0.06129675161319559,"{'batch_size': 64, 'learning_rate': 0.5, 'optimizer': 'Nadam', 'units': [128, 64, 32]}"
-1.0470571655356962,0.12268900987109732,"{'batch_size': 64, 'learning_rate': 0.5, 'optimizer': 'Nadam', 'units': [128, 64, 16]}"
-1.1572404401273204,0.09767588066279398,"{'batch_size': 64, 'learning_rate': 0.5, 'optimizer': 'Nadam', 'units': [64, 64, 32]}"
-1.120599372957646,0.2250948621904288,"{'batch_size': 64, 'learning_rate': 0.5, 'optimizer': 'Nadam', 'units': [64, 32, 16]}"
-0.9724545652653664,0.12258166867960313,"{'batch_size': 64, 'learning_rate': 0.5, 'optimizer': 'RMSprop', 'units': [256, 128, 64]}"
-1.1111638551593768,0.09102103837688147,"{'batch_size': 64, 'learning_rate': 0.5, 'optimizer': 'RMSprop', 'units': [256, 128, 32]}"
-0.9719622636638461,0.037698304133005234,"{'batch_size': 64, 'learning_rate': 0.5, 'optimizer': 'RMSprop', 'units': [128, 64, 32]}"
-0.9890349591109993,0.016440339398572645,"{'batch_size': 64, 'learning_rate': 0.5, 'optimizer': 'RMSprop', 'units': [128, 64, 16]}"
-1.0472960803730749,0.0034526997896844325,"{'batch_size': 64, 'learning_rate': 0.5, 'optimizer': 'RMSprop', 'units': [64, 64, 32]}"
-1.029007271348735,0.02704552057173526,"{'batch_size': 64, 'learning_rate': 0.5, 'optimizer': 'RMSprop', 'units': [64, 32, 16]}"
-0.061558938153851,0.0026555556307444814,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [256, 128, 64]}"
-0.08086112135987764,0.0122684069000382,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [256, 128, 32]}"
-0.06333898876220641,9.307608864754513e-05,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [128, 64, 32]}"
-0.07556446696816249,0.00034656847186147893,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [128, 64, 16]}"
-0.081034943467376,0.008921641189426281,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [64, 64, 32]}"
-0.1171596518713443,0.015440491260585748,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': [64, 32, 16]}"
-0.06171246750054097,0.011088399374839998,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [256, 128, 64]}"
-0.08101364081584991,0.0060802746249898,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [256, 128, 32]}"
-0.09384296922960914,0.021196833385024434,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [128, 64, 32]}"
-0.08110269756044566,0.004108259618361872,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [128, 64, 16]}"
-0.10666235618358452,0.004155632466172697,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [64, 64, 32]}"
-0.1175981599783747,0.03837160803896523,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': [64, 32, 16]}"
-0.06420224129094522,0.00437040081868555,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [256, 128, 64]}"
-0.06921703064434137,0.00032233952338427824,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [256, 128, 32]}"
-0.07172234771742948,0.00042164512302793333,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [128, 64, 32]}"
-0.07173815300612042,0.013348273493595953,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [128, 64, 16]}"
-0.07683726001590357,0.023152082842519628,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [64, 64, 32]}"
-0.1257481644192283,0.00433773206100118,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': [64, 32, 16]}"
-0.3866684051502407,0.13113642773054635,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': [256, 128, 64]}"
-0.6405351374384013,0.4162279185955865,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': [256, 128, 32]}"
-0.54792955976979,0.4612375032594262,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': [128, 64, 32]}"
-0.72082339129134,0.18656425071217558,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': [128, 64, 16]}"
-0.10173784421407436,0.010537844561329689,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': [64, 64, 32]}"
-0.16303050698460825,0.01420329531958403,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': [64, 32, 16]}"
-0.2251291201881468,0.01100891685552513,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': [256, 128, 64]}"
-0.5748237749899199,0.03543200565111332,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': [256, 128, 32]}"
-0.10564295499912724,0.004918921454763726,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': [128, 64, 32]}"
-0.5891100628223427,0.3943181552951327,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': [128, 64, 16]}"
-0.0787180952357548,0.001473380881875444,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': [64, 64, 32]}"
-0.13261924814090237,0.011173717487373884,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'Nadam', 'units': [64, 32, 16]}"
-0.22643238815849703,0.05289923641362586,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'RMSprop', 'units': [256, 128, 64]}"
-0.8521174919245588,0.2060699758295984,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'RMSprop', 'units': [256, 128, 32]}"
-0.3847099101003094,0.2775284473809031,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'RMSprop', 'units': [128, 64, 32]}"
-0.5126099525300575,0.376170973953147,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'RMSprop', 'units': [128, 64, 16]}"
-0.13921850589116475,0.0361056447211623,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'RMSprop', 'units': [64, 64, 32]}"
-0.15833749464473695,0.04891969476904649,"{'batch_size': 128, 'learning_rate': 0.01, 'optimizer': 'RMSprop', 'units': [64, 32, 16]}"
-0.895865857418905,0.03494730283848424,"{'batch_size': 128, 'learning_rate': 0.1, 'optimizer': 'Adam', 'units': [256, 128, 64]}"
-1.0926560525919382,0.11697215517714421,"{'batch_size': 128, 'learning_rate': 0.1, 'optimizer': 'Adam', 'units': [256, 128, 32]}"
-1.0421999506718618,0.028996279961704174,"{'batch_size': 128, 'learning_rate': 0.1, 'optimizer': 'Adam', 'units': [128, 64, 32]}"
-1.0730278202516885,0.0695667057908721,"{'batch_size': 128, 'learning_rate': 0.1, 'optimizer': 'Adam', 'units': [128, 64, 16]}"
-0.9959326902300849,0.0954828222191002,"{'batch_size': 128, 'learning_rate': 0.1, 'optimizer': 'Adam', 'units': [64, 64, 32]}"
-0.9909496364280894,0.02396867284390969,"{'batch_size': 128, 'learning_rate': 0.1, 'optimizer': 'Adam', 'units': [64, 32, 16]}"
-1.3837419109604663,0.007537109854577451,"{'batch_size': 128, 'learning_rate': 0.1, 'optimizer': 'Nadam', 'units': [256, 128, 64]}"
-0.9789400491750617,0.0011800709357581707,"{'batch_size': 128, 'learning_rate': 0.1, 'optimizer': 'Nadam', 'units': [256, 128, 32]}"
-1.133312129778616,0.0023768405394720693,"{'batch_size': 128, 'learning_rate': 0.1, 'optimizer': 'Nadam', 'units': [128, 64, 32]}"
-0.9482551573288165,0.03694999353227285,"{'batch_size': 128, 'learning_rate': 0.1, 'optimizer': 'Nadam', 'units': [128, 64, 16]}"
-0.970014652031294,0.09551573738947061,"{'batch_size': 128, 'learning_rate': 0.1, 'optimizer': 'Nadam', 'units': [64, 64, 32]}"
-0.9596540636010031,0.023985199662897472,"{'batch_size': 128, 'learning_rate': 0.1, 'optimizer': 'Nadam', 'units': [64, 32, 16]}"
-0.8272493546908899,0.07508455135244108,"{'batch_size': 128, 'learning_rate': 0.1, 'optimizer': 'RMSprop', 'units': [256, 128, 64]}"
-1.181508957021778,0.06242540112224404,"{'batch_size': 128, 'learning_rate': 0.1, 'optimizer': 'RMSprop', 'units': [256, 128, 32]}"
-1.09905085594481,0.22290011317666408,"{'batch_size': 128, 'learning_rate': 0.1, 'optimizer': 'RMSprop', 'units': [128, 64, 32]}"
-1.136709132503021,0.08847793929087522,"{'batch_size': 128, 'learning_rate': 0.1, 'optimizer': 'RMSprop', 'units': [128, 64, 16]}"
-1.1694635348148112,0.17340202887897532,"{'batch_size': 128, 'learning_rate': 0.1, 'optimizer': 'RMSprop', 'units': [64, 64, 32]}"
-0.9693185477965642,0.05083771487001143,"{'batch_size': 128, 'learning_rate': 0.1, 'optimizer': 'RMSprop', 'units': [64, 32, 16]}"
-3.713537653452697,0.9384741082981971,"{'batch_size': 128, 'learning_rate': 0.5, 'optimizer': 'Adam', 'units': [256, 128, 64]}"
-2.5028600482627548,1.0258158958128598,"{'batch_size': 128, 'learning_rate': 0.5, 'optimizer': 'Adam', 'units': [256, 128, 32]}"
-0.7608827396376109,0.005275400298303867,"{'batch_size': 128, 'learning_rate': 0.5, 'optimizer': 'Adam', 'units': [128, 64, 32]}"
-1.8886748839235281,0.21683989772877954,"{'batch_size': 128, 'learning_rate': 0.5, 'optimizer': 'Adam', 'units': [128, 64, 16]}"
-1.5803579752654113,0.7853848931393611,"{'batch_size': 128, 'learning_rate': 0.5, 'optimizer': 'Adam', 'units': [64, 64, 32]}"
-1.2785253106226775,0.10551793394576348,"{'batch_size': 128, 'learning_rate': 0.5, 'optimizer': 'Adam', 'units': [64, 32, 16]}"
-2.817536879664052,1.5665097877510405,"{'batch_size': 128, 'learning_rate': 0.5, 'optimizer': 'Nadam', 'units': [256, 128, 64]}"
-1.8366084518828272,0.389904853356812,"{'batch_size': 128, 'learning_rate': 0.5, 'optimizer': 'Nadam', 'units': [256, 128, 32]}"
