Mean Test Score,Standard Deviation,Parameters
-0.0829535122045966,0.023139081661474225,"{'batch_size': 64, 'learning_rate': 0.1, 'optimizer': 'RMSprop', 'units': 8}"
-0.06686956815813704,0.008202093306288748,"{'batch_size': 64, 'learning_rate': 0.1, 'optimizer': 'RMSprop', 'units': 16}"
-0.09153231546169976,0.0038976182526524253,"{'batch_size': 64, 'learning_rate': 0.1, 'optimizer': 'RMSprop', 'units': 32}"
-0.07858027625281762,0.02877560698326323,"{'batch_size': 64, 'learning_rate': 0.1, 'optimizer': 'RMSprop', 'units': 64}"
-0.13420851504588271,0.01810312424948473,"{'batch_size': 64, 'learning_rate': 0.1, 'optimizer': 'RMSprop', 'units': 128}"
-0.8451269576122153,0.022967775136115642,"{'batch_size': 64, 'learning_rate': 0.1, 'optimizer': 'RMSprop', 'units': 256}"
-0.0973914947539549,0.009620596932568691,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': 8}"
-0.09202485688532303,0.009442607466886611,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': 16}"
-0.06002482092546131,0.019951425905308417,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': 32}"
-0.051217597185982504,0.00320675466778101,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': 64}"
-0.03017576020232208,0.00257146049090253,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': 128}"
-0.02454759835133657,0.002330824897362825,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': 256}"
-0.09440261902454262,0.016185053883940148,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': 8}"
-0.06982222361439713,0.0076253093364246,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': 16}"
-0.05548070398000049,0.004452994439702051,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': 32}"
-0.04554476580212456,0.008192205603604546,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': 64}"
-0.032338084165409356,0.0005084903410484155,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': 128}"
-0.028550963937768757,0.0029650789822684293,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': 256}"
-0.05033027093303845,0.0017974650839336082,"{'batch_size': 128, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': 8}"
