mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_optimizer,param_units,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
1.9811714887619019,0.017283320426940918,0.1855936050415039,0.013091564178466797,64,0.001,Adam,8,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': 8}",-0.05094747194877372,-0.053587151502174406,-0.05226731172547407,0.0013198397767003427,76
1.954317569732666,0.03813433647155762,0.17851245403289795,0.0020314455032348633,64,0.001,Adam,16,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': 16}",-0.07712466030040549,-0.047954251806302035,-0.06253945605335376,0.014585204247051727,93
2.231393814086914,0.001795053482055664,0.1850820779800415,0.00010502338409423828,64,0.001,Adam,32,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': 32}",-0.04855899657434824,-0.03262460442829542,-0.04059180050132183,0.00796719607302641,56
3.3379435539245605,0.009829521179199219,0.22886693477630615,0.0021158456802368164,64,0.001,Adam,64,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': 64}",-0.03210796179106101,-0.03013135753922048,-0.031119659665140745,0.0009883021259202672,21
6.292507529258728,0.005647540092468262,0.32032108306884766,0.0005319118499755859,64,0.001,Adam,128,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': 128}",-0.04783588553486995,-0.026999644761303458,-0.0374177651480867,0.010418120386783246,40
12.379193663597107,0.44021666049957275,0.5910170078277588,0.03276801109313965,64,0.001,Adam,256,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Adam', 'units': 256}",-0.02638723626192388,-0.051310855524885214,-0.038849045893404544,0.012461809631480667,50
1.8113853931427002,0.0076634883880615234,0.17511022090911865,0.001025080680847168,64,0.001,Nadam,8,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': 8}",-0.05144248021388427,-0.045816901126333257,-0.04862969067010876,0.002812789543775507,70
2.0750969648361206,0.048802971839904785,0.19296514987945557,0.012454867362976074,64,0.001,Nadam,16,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': 16}",-0.07958031246498633,-0.04563039441927214,-0.06260535344212924,0.016974959022857092,94
2.2653067111968994,0.0033469200134277344,0.2959117889404297,0.10520648956298828,64,0.001,Nadam,32,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': 32}",-0.03361477383658711,-0.04089910172822233,-0.03725693778240472,0.0036421639458176086,39
3.362225294113159,0.008954524993896484,0.23231220245361328,0.0011141300201416016,64,0.001,Nadam,64,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': 64}",-0.036579465890247825,-0.030701983434562728,-0.03364072466240528,0.0029387412278425486,31
6.522188305854797,0.019517064094543457,0.33094286918640137,0.0004799365997314453,64,0.001,Nadam,128,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': 128}",-0.03209834744461315,-0.025896484116831264,-0.028997415780722208,0.0031009316638909434,13
13.333662033081055,0.1468660831451416,0.6358033418655396,0.019658446311950684,64,0.001,Nadam,256,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'Nadam', 'units': 256}",-0.02637946451698778,-0.02383575198626863,-0.025107608251628208,0.0012718562653595746,4
1.8495495319366455,0.0236356258392334,0.17685842514038086,0.0005636215209960938,64,0.001,RMSprop,8,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': 8}",-0.05146121819540892,-0.0598602568865393,-0.055660737540974115,0.00419951934556519,83
1.9664995670318604,0.016468524932861328,0.18135499954223633,0.0018701553344726562,64,0.001,RMSprop,16,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': 16}",-0.052698751741665176,-0.07187360442367846,-0.06228617808267182,0.009587426341006643,92
2.529684543609619,0.2313385009765625,0.19346952438354492,0.00587153434753418,64,0.001,RMSprop,32,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': 32}",-0.034558031171287765,-0.03780931693566091,-0.036183674053474335,0.001625642882186574,38
3.557250499725342,0.1023566722869873,0.24195539951324463,0.004262566566467285,64,0.001,RMSprop,64,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': 64}",-0.027633090966700663,-0.04794975687245531,-0.03779142391957799,0.010158332952877325,43
6.091330409049988,0.15085160732269287,0.341217041015625,0.01811504364013672,64,0.001,RMSprop,128,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': 128}",-0.022676118041417906,-0.026772048294178542,-0.024724083167798224,0.0020479651263803182,2
13.065875053405762,0.2824380397796631,0.5958229303359985,0.010539889335632324,64,0.001,RMSprop,256,"{'batch_size': 64, 'learning_rate': 0.001, 'optimizer': 'RMSprop', 'units': 256}",-0.02188878116996275,-0.034082682268124664,-0.027985731719043706,0.006096950549080956,8
1.8517591953277588,0.0027468204498291016,0.17587804794311523,0.0008349418640136719,64,0.01,Adam,8,"{'batch_size': 64, 'learning_rate': 0.01, 'optimizer': 'Adam', 'units': 8}",-0.044673479724664795,-0.04610585712537831,-0.045389668425021554,0.0007161887003567582,67
