Number of Features,Eliminated Feature,MSE,MAE,RMSE,MAPE,SMAPE
40,SINE,0.0002149662804915,0.0035713308654519,0.014661728427834,5235873279.075247,5235873279.075247
42,RSI,0.000214985809652,0.0035174247832137,0.0146623944037803,5235873279.074812,5235873279.074812
36,NATR,0.0002149906593528,0.0035270754490843,0.0146625597817315,5246700374.676048,5246700374.676048
34,ROCR,0.0002149987527006,0.0035424526988362,0.0146628357659972,5246700374.675841,5246700374.675841
46,DEMA,0.0002150586624378,0.0035024293840856,0.0146648785347126,5235873279.074922,5235873279.074922
32,RSI,0.0002150780192236,0.0035130268864021,0.014665538490749,5628606580.751483,5628606580.751483
32,WILLR,0.00021513500099,0.0034939242371379,0.0146674810717463,5628606580.751438,5628606580.751438
25,Chaikin A/D,0.0002151677683597,0.0034529488738565,0.0146685980366127,5628606580.751323,5628606580.751323
43,FAMA,0.0002152036517146,0.003584225818087,0.0146698211207431,5235873279.075041,5235873279.075041
37,DX,0.000215315048553,0.0035381161804378,0.0146736174324198,5235873279.074948,5235873279.074948
36,KAMA,0.0002153263070666,0.0035844346181338,0.0146740010585623,5069135577.175958,5069135577.175958
26,MOM,0.0002153740240096,0.0034415583598458,0.0146756268693945,5628606580.751306,5628606580.751306
37,MFI,0.0002155467069937,0.0035467088480147,0.0146815090162334,5235873279.074975,5235873279.074975
30,MACD,0.0002156282784188,0.0034754222481339,0.0146842867861839,5628606580.75142,5628606580.75142
44,T3,0.0002157063028036,0.0035662601027177,0.0146869432763816,5235873279.07502,5235873279.07502
43,MACD,0.0002157074874329,0.0035836760060679,0.0146869836056611,5235873279.075025,5235873279.075025
36,MACD_Hist,0.0002157647424642,0.0035385949215918,0.0146889326523158,5246700374.675974,5246700374.675974
27,ROCR,0.0002158456042964,0.0034384241710814,0.0146916848692205,5628606580.751296,5628606580.751296
43,Unnamed: 0,0.0002158731439417,0.003540265633313,0.0146926220921149,5235873279.074869,5235873279.074869
43,MAMA,0.00021588741948,0.0035848020137259,0.0146931078904391,5235873279.075026,5235873279.075026
26,MFI,0.0002159100333598,0.0034363821151223,0.0146938774106709,5628606580.75133,5628606580.75133
32,FastK,0.0002159513052912,0.0035212959792576,0.0146952817356866,5628606580.751542,5628606580.751542
32,TRIX,0.0002160287982558,0.0035060181984473,0.0146979181606035,5628606580.751501,5628606580.751501
41,ROC,0.0002160808225703,0.0035694768025976,0.0146996878392152,5235873279.0750265,5235873279.0750265
40,ROC,0.0002160834467056,0.0035845187671304,0.0146997770971414,5235873279.075099,5235873279.075099
41,TRIX,0.0002161078609824,0.0035495939488817,0.0147006075038554,5235873279.074981,5235873279.074981
29,SMA_SMA3,0.0002161236689833,0.0034563157885932,0.0147011451589104,5628606580.751157,5628606580.751157
43,APO,0.0002161245757286,0.0035852967874729,0.0147011759981523,5235873279.075021,5235873279.075021
38,Unnamed: 0,0.0002161697010242,0.0035449007922183,0.0147027106692688,5235873279.075061,5235873279.075061
26,MACD,0.0002162191966767,0.0034664260605355,0.0147043937881424,5628606580.7513075,5628606580.7513075
32,MACD,0.0002162329536786,0.0035345768441939,0.0147048615661168,5628606580.751583,5628606580.751583
26,KAMA,0.0002162581445401,0.0034420718754073,0.0147057180899198,5628606580.751248,5628606580.751248
26,Real Lower Band,0.0002163701923212,0.0034648738707331,0.0147095272636905,5628606580.751291,5628606580.751291
42,ADOSC,0.0002163720701534,0.0035640046388278,0.0147095910940264,5235873279.075009,5235873279.075009
27,MACD,0.000216376544444,0.0034175392874202,0.0147097431807656,5628606580.751228,5628606580.751228
33,FastK,0.0002164009779976,0.0035147255679197,0.0147105736801007,5628606580.751682,5628606580.751682
36,ATR,0.0002164134235789,0.0035298075283889,0.0147109966888377,5246700374.676059,5246700374.676059
36,DX,0.0002164838889022,0.0035472942271079,0.0147133914819875,5246700374.676108,5246700374.676108
31,MOM,0.0002165552085821,0.0034618268542192,0.0147158149139688,5628606580.751412,5628606580.751412
39,MIDPRICE,0.0002165898098488,0.0035555998873886,0.0147169905160289,5235873279.074848,5235873279.074848
44,Chaikin A/D,0.0002166531597392,0.0035451098182096,0.014719142629219,5235873279.074961,5235873279.074961
27,Chaikin A/D,0.000216697121838,0.0034568611011458,0.0147206359182616,5628606580.751442,5628606580.751442
40,RSI,0.0002167055797018,0.0035351806090584,0.0147209231946199,5235873279.074948,5235873279.074948
43,RSI,0.00021671945938,0.0035736332801761,0.014721394613965,5235873279.074972,5235873279.074972
36,MACD,0.000216794323569,0.0035511797854429,0.0147239370947128,5246700374.67604,5246700374.67604
29,OBV,0.0002167949421492,0.0034522709535248,0.0147239581006344,5628606580.751146,5628606580.751146
40,DX,0.0002167956941914,0.0035786954567828,0.0147239836386572,5235873279.075143,5235873279.075143
44,MACD_Signal,0.0002168397637887,0.0035656003750301,0.0147254800868693,5235873279.075051,5235873279.075051
44,TRIMA,0.000216851343737,0.0035618092261031,0.014725873275873,5235873279.074998,5235873279.074998
27,Real Lower Band,0.0002168566460932,0.0034572598932977,0.0147260533101456,5628606580.751514,5628606580.751514
44,SMA,0.0002169820559011,0.0035505256154119,0.0147303107876627,5235873279.074986,5235873279.074986
42,APO,0.0002170035728786,0.0035291285914364,0.0147310411335596,5235873279.074804,5235873279.074804
42,PPO,0.0002170035728786,0.0035291285914364,0.0147310411335596,5235873279.074804,5235873279.074804
38,Real Lower Band,0.0002170207824865,0.0035410136585338,0.0147316252493263,5235873279.075059,5235873279.075059
31,Chaikin A/D,0.0002170694358574,0.0035078043758082,0.014733276480724,5628606580.751583,5628606580.751583
30,MACD_Signal,0.0002171279841241,0.0034843325389822,0.014735263286558,5628606580.751434,5628606580.751434
32,ROC,0.0002171354360121,0.0035148460826337,0.0147355161433924,5628606580.7515135,5628606580.7515135
33,DX,0.0002171904541339,0.0035361299443882,0.0147373828793984,5628606580.751762,5628606580.751762
32,MFI,0.0002172263307623,0.0035101555496377,0.0147386000272206,5628606580.751509,5628606580.751509
26,PPO,0.0002172423220287,0.0034484833198224,0.0147391425133466,5628606580.751309,5628606580.751309
27,FastK,0.000217251335545,0.0034311463061601,0.0147394482781784,5628606580.751274,5628606580.751274
26,OBV,0.0002172779708775,0.0034513344198566,0.0147403517894789,5628606580.751288,5628606580.751288
40,APO,0.0002173057764898,0.0035559934563418,0.0147412949393814,5235873279.075018,5235873279.075018
40,PPO,0.0002173057764898,0.0035559934563418,0.0147412949393814,5235873279.075018,5235873279.075018
26,TRANGE,0.0002173620638342,0.0034167652446124,0.014743203988083,5628606580.751361,5628606580.751361
31,MACD,0.0002174077147832,0.0034803952287951,0.0147447521099296,5628606580.751618,5628606580.751618
33,ROCR,0.0002175074810796,0.0035299569044345,0.0147481348339268,5628606580.751757,5628606580.751757
37,MACD_Hist,0.0002175922185196,0.0035467216555518,0.0147510073730442,5235873279.074966,5235873279.074966
39,HT_TRENDLINE,0.0002176294580143,0.0035252269296863,0.014752269588588,5235873279.075083,5235873279.075083
27,MACD_Signal,0.0002176605240692,0.0034359470226593,0.0147533224756063,5628606580.751286,5628606580.751286
44,MACD,0.0002177654247035,0.0035666313552214,0.0147568772002606,5235873279.075007,5235873279.075007
43,FastK,0.0002177977693283,0.003585993651851,0.0147579730765548,5235873279.075046,5235873279.075046
32,ROCR,0.0002178005416494,0.0035112988297043,0.0147580670024705,5628606580.751532,5628606580.751532
43,SlowK,0.0002178063361959,0.003586787415699,0.0147582633191029,5235873279.075023,5235873279.075023
26,DX,0.0002178148477626,0.003454058193076,0.0147585516824204,5628606580.751213,5628606580.751213
27,KAMA,0.0002178608022015,0.0034320250213472,0.0147601084752645,5628606580.751358,5628606580.751358
31,APO,0.0002178726710395,0.0034693599485406,0.0147605105277425,5628606580.751493,5628606580.751493
31,PPO,0.0002178726710395,0.0034693599485406,0.0147605105277425,5628606580.751493,5628606580.751493
33,MACD_Signal,0.000217875060746,0.0035130915275858,0.0147605914768377,5628606580.751655,5628606580.751655
36,SMA_SMA3,0.0002179654185929,0.0035497023065228,0.0147636519395759,5246700374.676167,5246700374.676167
31,RSI,0.0002180242061287,0.0034786308595013,0.0147656427604333,5628606580.75152,5628606580.75152
43,ROC,0.0002180403135889,0.0035782255172841,0.01476618818751,5235873279.074993,5235873279.074993
28,NATR,0.0002180702831213,0.0034171816645997,0.0147672029552443,5653451757.628394,5653451757.628394
36,ADOSC,0.0002181313349987,0.0035260934231035,0.0147692699548321,5246700374.67603,5246700374.67603
31,MINUS_DI,0.0002181475103173,0.0034289442340334,0.0147698175451627,5628606580.751214,5628606580.751214
33,PPO,0.0002182087256129,0.003520224965125,0.0147718897102887,5628606580.751692,5628606580.751692
33,APO,0.0002182087256129,0.003520224965125,0.0147718897102887,5628606580.751692,5628606580.751692
33,WILLR,0.0002182092766857,0.0035261794998299,0.0147719083630281,5628606580.751716,5628606580.751716
38,TRIX,0.0002182245874443,0.0035695115010118,0.0147724265929583,5235873279.075179,5235873279.075179
44,MAMA,0.0002182348449947,0.0035684229702423,0.0147727737745754,5235873279.075016,5235873279.075016
40,MFI,0.0002183254626729,0.0035798382065016,0.0147758405064791,5235873279.075159,5235873279.075159
44,SINE,0.0002183337913753,0.0035520965675506,0.0147761223389408,5235873279.07529,5235873279.07529
31,ROCR,0.0002183367234765,0.0034935661002748,0.0147762215561546,5628606580.751571,5628606580.751571
27,MOM,0.0002184894349526,0.0034478504240119,0.0147813881267177,5628606580.75145,5628606580.75145
37,FastK,0.0002185248331762,0.0035555342695787,0.0147825854699444,5235873279.075036,5235873279.075036
33,MOM,0.0002185331881806,0.0035251431905082,0.0147828680634244,5628606580.75175,5628606580.75175
36,TRIX,0.0002185457111457,0.0035438403132062,0.0147832916208058,5246700374.676086,5246700374.676086
37,HT_DCPHASE,0.0002186421169441,0.0035685507468303,0.0147865518950216,5235873279.075047,5235873279.075047
40,WILLR,0.0002186575439315,0.0035471601602072,0.014787073541833,5235873279.074996,5235873279.074996
44,HT_TRENDLINE,0.0002187149653544,0.0035496272983315,0.0147890150231324,5235873279.075173,5235873279.075173
36,WILLR,0.0002187248454579,0.0035282508932786,0.0147893490545699,5246700374.675946,5246700374.675946
27,ADOSC,0.0002187506203758,0.0034512042545053,0.0147902204302642,5628606580.75149,5628606580.75149
32,Chaikin A/D,0.0002187601572169,0.0035385500046533,0.0147905428303666,5628606580.75181,5628606580.75181
48,CMO,0.0002187786093452,0.0034685898873221,0.0147911665985228,5235873279.074862,5235873279.074862
43,TRIX,0.0002187995601199,0.0035699750299003,0.0147918748007129,5235873279.074956,5235873279.074956
33,ROC,0.0002188468619177,0.0035203822325606,0.0147934736258163,5628606580.751664,5628606580.751664
48,MOM,0.0002188826014346,0.0034695301996037,0.0147946815252863,5235873279.074875,5235873279.074875
26,Chaikin A/D,0.0002189085367836,0.003454812210406,0.0147955580085247,5628606580.751348,5628606580.751348
44,MACD_Hist,0.000218944679797,0.0035610262737161,0.014796779372453,5235873279.074975,5235873279.074975
31,KAMA,0.0002189530773289,0.003497361308896,0.0147970631318821,5628606580.751658,5628606580.751658
42,OBV,0.0002189677960997,0.0035781821505926,0.0147975604779895,5235873279.0750475,5235873279.0750475
42,Unnamed: 0,0.0002190249524545,0.0035493594103868,0.0147994916282461,5235873279.074839,5235873279.074839
31,MFI,0.0002190290737436,0.0034964191422672,0.0147996308651156,5628606580.75158,5628606580.75158
27,APO,0.0002190525884336,0.0034399844645,0.01480042527881,5628606580.751332,5628606580.751332
27,PPO,0.0002190525884336,0.0034399844645,0.01480042527881,5628606580.751332,5628606580.751332
37,MACD,0.0002191198089812,0.0035566682479899,0.0148026960038101,5235873279.075003,5235873279.075003
30,ATR,0.0002191615622696,0.0034852705261257,0.0148041062637931,5628606580.751488,5628606580.751488
30,NATR,0.0002191915150708,0.0034866143651156,0.0148051178675092,5628606580.7514925,5628606580.7514925
32,MOM,0.0002192171529879,0.0035150703684791,0.0148059836886297,5628606580.751517,5628606580.751517
43,MOM,0.0002192408755934,0.0035836334845329,0.014806784782439,5235873279.07499,5235873279.07499
42,Real Upper Band,0.0002193208291217,0.0035185120148089,0.0148094844313294,5617779485.150738,5617779485.150738
30,RSI,0.00021939203751,0.0034943727997151,0.0148118883843354,5628606580.751452,5628606580.751452
33,RSI,0.0002194137176751,0.0035293831909085,0.0148126202163953,5628606580.7516985,5628606580.7516985
36,MACD_Signal,0.0002194357390338,0.0035413413237243,0.0148133635287142,5246700374.675996,5246700374.675996
43,MACD_Signal,0.0002194429402442,0.0035992527009241,0.0148136065913827,5235873279.0751,5235873279.0751
44,SMA_SMA3,0.0002194450499462,0.003548065601763,0.0148136777994601,5235873279.075082,5235873279.075082
31,FastK,0.0002194730139821,0.0034810458012182,0.0148146216280454,5628606580.751621,5628606580.751621
31,MACD_Signal,0.0002195075136749,0.003483848110178,0.0148157859621074,5628606580.751622,5628606580.751622
29,MIDPRICE,0.0002195218062186,0.0034675708542623,0.0148162682959868,5628606580.751269,5628606580.751269
24,PLUS_DM,0.0002195265682215,0.0034787167199918,0.0148164289969451,5653451757.62853,5653451757.62853
26,ROCR,0.0002195591492198,0.0034696980368949,0.0148175284450487,5628606580.75138,5628606580.75138
36,ROCR,0.0002196254390277,0.0035429987289621,0.0148197651475237,5246700374.676076,5246700374.676076
32,KAMA,0.0002196436874503,0.0035199022250671,0.0148203808132692,5628606580.751542,5628606580.751542
44,LEAD SINE,0.0002197613017001,0.0035449046341048,0.0148243482723574,5235873279.075058,5235873279.075058
48,ROC,0.0002198578816482,0.0034953880184346,0.0148276053915742,5235873279.074928,5235873279.074928
48,ROCR,0.0002199300571206,0.0034926103862476,0.014830039012784,5235873279.074919,5235873279.074919
30,FastK,0.0002199686585405,0.0034966348194868,0.0148313404161764,5628606580.751462,5628606580.751462
41,Unnamed: 0,0.0002199746216684,0.0035531737926448,0.0148315414461347,5235873279.075106,5235873279.075106
48,WILLR,0.0002199814591487,0.0034695970955434,0.0148317719490527,5235873279.074869,5235873279.074869
36,MFI,0.0002200723609424,0.0035360855085754,0.0148348360605191,5246700374.676046,5246700374.676046
37,PLUS_DI,0.0002200895798759,0.0035708888420292,0.01483541640386,5235873279.074956,5235873279.074956
37,WILLR,0.0002201608032248,0.0035551487231628,0.0148378166596304,5235873279.074999,5235873279.074999
43,3. low,0.0002201690964484,0.0035407628590848,0.0148380961193977,5246700374.675721,5246700374.675721
36,HT_TRENDLINE,0.0002202198084169,0.0035751599794316,0.0148398048645184,5246700374.676193,5246700374.676193
30,APO,0.0002202344089794,0.0035016064036889,0.0148402967955321,5628606580.751498,5628606580.751498
30,PPO,0.0002202344089794,0.0035016064036889,0.0148402967955321,5628606580.751498,5628606580.751498
44,OBV,0.0002202507449548,0.0035586806853362,0.014840847177801,5235873279.07509,5235873279.07509
25,ADOSC,0.0002202999942868,0.0034337058957536,0.0148425063344064,5628606580.751238,5628606580.751238
35,MACD_Hist,0.0002204083033276,0.003529029850633,0.0148461544962879,5246700374.67581,5246700374.67581
34,ADOSC,0.0002204116617482,0.0035453591959178,0.0148462676032807,5246700374.675813,5246700374.675813
39,MACD_Signal,0.0002204249490732,0.0035632274626063,0.0148467150936929,5235873279.07499,5235873279.07499
39,3. low,0.0002204330651952,0.003587316425569,0.0148469884217402,5246700374.675875,5246700374.675875
34,SMA_SMA3,0.0002204703358413,0.0035634479545652,0.0148482435271437,5246700374.675943,5246700374.675943
44,Unnamed: 0,0.0002204834479802,0.0035286583794859,0.0148486850589628,5235873279.074917,5235873279.074917
38,DX,0.0002205096002155,0.0035356009745233,0.0148495656574723,5235873279.074993,5235873279.074993
32,APO,0.0002205213714089,0.0035209137143147,0.0148499620002531,5628606580.751508,5628606580.751508
42,LEAD SINE,0.0002205230630041,0.0035860242581694,0.0148500189563555,5235873279.075072,5235873279.075072
48,MACD_Hist,0.0002205304670484,0.0034681845162048,0.014850268248366,5235873279.074871,5235873279.074871
44,HT_DCPHASE,0.0002205377575276,0.0035465247725529,0.0148505137125831,5235873279.075058,5235873279.075058
32,DX,0.0002205535959524,0.0035214702184826,0.0148510469648605,5628606580.751517,5628606580.751517
39,MAMA,0.0002205804316014,0.0035631664225377,0.0148519504308859,5235873279.074934,5235873279.074934
39,KAMA,0.0002206093175195,0.0036034962048369,0.0148529228611588,5058308481.57495,5058308481.57495
27,RSI,0.0002206293959837,0.0034622116452193,0.01485359875531,5628606580.7513895,5628606580.7513895
28,DX,0.0002206376837481,0.0034798068199511,0.0148538777343877,5628606580.751382,5628606580.751382
28,ADOSC,0.0002206636266161,0.0034382340980002,0.0148547509779257,5628606580.751369,5628606580.751369
37,RSI,0.0002206741916114,0.0035641640304075,0.014855106583644,5235873279.075012,5235873279.075012
34,Chaikin A/D,0.0002207171590412,0.0035553820036675,0.0148565527307413,5246700374.675899,5246700374.675899
29,TRANGE,0.0002208060882969,0.0034291107368444,0.0148595453596977,5628606580.751306,5628606580.751306
38,SMA_SMA3,0.0002208398755468,0.0035812201016866,0.0148606822032786,5235873279.075171,5235873279.075171
35,SMA_SMA3,0.0002208454613937,0.0035369199655901,0.0148608701425501,5246700374.675996,5246700374.675996
28,KAMA,0.0002208762533677,0.0034326145716502,0.0148619061148887,5628606580.7513275,5628606580.7513275
35,OBV,0.0002208806377299,0.0035330180604342,0.0148620536175157,5246700374.675981,5246700374.675981
30,ROCR,0.0002209105848914,0.0035094391703618,0.0148630610875237,5628606580.75152,5628606580.75152
39,LEAD SINE,0.000220927097651,0.0035621014736658,0.0148636165737368,5235873279.075008,5235873279.075008
39,MACD_Hist,0.0002209294766517,0.003555156218766,0.0148636966011724,5235873279.074951,5235873279.074951
34,MINUS_DI,0.0002209397557368,0.0035645388260597,0.0148640423753703,5246700374.67575,5246700374.67575
